编号,类型,中文标题,原文标题,艺术家,年代,尺寸,媒材,收藏机构,藏品编号,馆藏页URL,在报告中的角色,图像来源页,原图直链,本地文件,本地原图分辨率,裁切坐标,母图编号,机构技术影像URL,版权状态
botticelli-venus,全图,波提切利《维纳斯的诞生》,Birth of Venus,Sandro Botticelli,c.1485,,布面蛋彩,Uffizi,,https://commons.wikimedia.org/wiki/File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg?width=2500,images/originals/botticelli-venus.jpg,,,,,public-domain-or-cc / generated
manet-olympia,全图,马奈《奥林匹亚》,Olympia,Édouard Manet,1863,,布面油画,Musée d'Orsay,,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Olympia_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Olympia_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Edouard_Manet_-_Olympia_-_Google_Art_Project.jpg?width=2500,images/originals/manet-olympia.jpg,,,,,public-domain-or-cc / generated
turner-slave-ship,全图,透纳《奴隶船》,The Slave Ship,J. M. W. Turner,1840,,布面油画,MFA Boston,,https://commons.wikimedia.org/wiki/File:Slave-ship.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Slave-ship.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Slave-ship.jpg?width=2000,images/originals/turner-slave-ship.jpg,,,,,public-domain-or-cc / generated
delacroix-liberty,全图,德拉克洛瓦《自由引导人民》,Liberty Leading the People,Eugène Delacroix,1830,,布面油画,Louvre,,https://commons.wikimedia.org/wiki/File:Eug%C3%A8ne_Delacroix_-_Le_28_Juillet._La_Libert%C3%A9_guidant_le_peuple.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Eug%C3%A8ne_Delacroix_-_Le_28_Juillet._La_Libert%C3%A9_guidant_le_peuple.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne_Delacroix_-_Le_28_Juillet._La_Libert%C3%A9_guidant_le_peuple.jpg?width=2500,images/originals/delacroix-liberty.jpg,,,,,public-domain-or-cc / generated
van-gogh-bedroom,全图,梵高《卧室》,The Bedroom,Vincent van Gogh,1888,,布面油画,Van Gogh Museum / Art Institute of Chicago (讨论),,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg?width=2000,images/originals/van-gogh-bedroom.jpg,,,,,public-domain-or-cc / generated
seurat-grande-jatte,全图,修拉《大碗岛的星期日下午》,A Sunday on La Grande Jatte,Georges Seurat,1884–1886,,布面油画,Art Institute of Chicago,,https://commons.wikimedia.org/wiki/File:Georges_Seurat_-_A_Sunday_on_La_Grande_Jatte_--_1884_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Georges_Seurat_-_A_Sunday_on_La_Grande_Jatte_--_1884_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Georges_Seurat_-_A_Sunday_on_La_Grande_Jatte_--_1884_-_Google_Art_Project.jpg?width=2500,images/originals/seurat-grande-jatte.jpg,,,,,public-domain-or-cc / generated
constable-hay-wain,全图,康斯特勃《干草车》,The Hay Wain,John Constable,1821,,布面油画,"National Gallery, London",,https://commons.wikimedia.org/wiki/File:John_Constable_The_Hay_Wain.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:John_Constable_The_Hay_Wain.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/John_Constable_The_Hay_Wain.jpg?width=2000,images/originals/constable-hay-wain.jpg,,,,,public-domain-or-cc / generated
titian-early-hand,全图,提香《持手套的男子》（早期笔触对照）,Man with a Glove,Titian,c.1520,,布面油画,Louvre,,https://commons.wikimedia.org/wiki/File:Titian_-_Man_with_a_Glove_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Titian_-_Man_with_a_Glove_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Titian_-_Man_with_a_Glove_-_Google_Art_Project.jpg?width=1600,images/originals/titian-early-hand.jpg,,,,,public-domain-or-cc / generated
titian-late-hand,全图,提香《哀悼基督》（晚期笔触对照）,Pietà,Titian,1575–1576,,布面油画,Gallerie dell'Accademia,,https://commons.wikimedia.org/wiki/File:Titian_-_Piet%C3%A0_-_WGA22755.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Titian_-_Piet%C3%A0_-_WGA22755.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Titian_-_Piet%C3%A0_-_WGA22755.jpg?width=1600,images/originals/titian-late-hand.jpg,,,,,public-domain-or-cc / generated
tempera-panel-schematic,示意图,十四世纪蛋彩板（Cennini 系统示意图）,Tempera schematic,schematic,c.1390 system,,示意图,generated,,generated,主范例全图,generated,,images/originals/tempera-panel-schematic.jpg,,,,,public-domain-or-cc / generated
masaccio-trinity-coffers,细节裁切,马萨乔《三位一体》藻井收缩,藻井方格收缩序列,,,,,,,,细节精读,,,site/img/crops/masaccio-trinity-coffers.jpg,,"154,40,720,900",masaccio-trinity,,derived-from-parent
raphael-orthogonals,细节裁切,拉斐尔《雅典学院》正交线,地砖与拱肋正交线,,,,,,,,细节精读,,,site/img/crops/raphael-orthogonals.jpg,,"555,950,2590,1350",raphael-school-of-athens,,derived-from-parent
arnolfini-mirror,细节裁切,阿尔诺芬尼凸面镜,凸面镜第二空间,,,,,,,,细节精读,,,site/img/crops/arnolfini-mirror.jpg,,"1459,1420,960,1100",van-eyck-arnolfini,,derived-from-parent
holbein-skull,细节裁切,大使们变形骷髅,前景变形骷髅,,,,,,,,细节精读,,,site/img/crops/holbein-skull.jpg,,"192,2700,3456,1000",holbein-ambassadors,,derived-from-parent
leonardo-sfumato-jaw,细节裁切,岩间圣母 sfumato 过渡,下颌与手背 sfumato,,,,,,,,细节精读,,,site/img/crops/leonardo-sfumato-jaw.jpg,,"537,888,864,1184",leonardo-rocks-london,,derived-from-parent
caravaggio-hand-edge,细节裁切,以马忤斯手部边缘,手部亮直落黑,,,,,,,,细节精读,,,site/img/crops/caravaggio-hand-edge.jpg,,"1843,955,1536,1228",caravaggio-emmaus,,derived-from-parent
rembrandt-armor,细节裁切,夜巡铠甲高光,铠甲高光堆塑,,,,,,,,细节精读,,,site/img/crops/rembrandt-armor.jpg,,"1459,687,1152,1499",rembrandt-night-watch,,derived-from-parent
monet-shadow-color,细节裁切,印象日出影色,影中无黑,,,,,,,,细节精读,,,site/img/crops/monet-shadow-color.jpg,,"384,1042,2112,1340",monet-sunrise,,derived-from-parent
botticelli-hatching,细节裁切,维纳斯蛋彩排线,蛋彩排线,,,,,,,,细节精读,,,site/img/crops/botticelli-hatching.jpg,,"1612,723,1152,1206",botticelli-venus,,derived-from-parent
meninas-mirror,细节裁切,宫娥镜面,镜中王室,,,,,,,,细节精读,,,site/img/crops/meninas-mirror.jpg,,"1305,2120,620,900",velazquez-meninas,,derived-from-parent
